Place of interest;Type of place;Place address;BiciMAD station;Station location
Instalación Deportiva Municipal Básica La Masó;Instalación deportiva;Calle La Maso 34 C/V Collado De Cerro Malejo;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica La Perla;Instalación deportiva;Calle Corindon 3;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Las Rosas;Instalación deportiva;Avenida Niza S/N;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Las Vistillas;Instalación deportiva;Plaza Gabriel Miro ;Segovia 26;Calle Segovia nº 26
Instalación Deportiva Municipal Básica Lili Alvarez;Instalación deportiva;Calle La Riviera 4 C/V Calle Provenza, 3 Cañón Río Lobos;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Lonja de la Seda;Instalación deportiva;Calle Lonja De La Seda 32 Parc. 2.1 Del P.A.U. De Carabanchel;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Los Arbolitos;Instalación deportiva;Ronda Sur S/N Frente C/ Serena;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Los Caprichos;Instalación deportiva;Avenida Caprichos 1;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Los Coronales;Instalación deportiva;Calle Bahia De Malaga 5;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Los Cármenes;Instalación deportiva;Calle Alhambra 35;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Los Llanos;Instalación deportiva;Calle Florencio Castillo 3;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Los Morales;Instalación deportiva;Calle Morales 31 Parc. 3.16.2 Del P.A.U. De Carabanchel;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad I;Instalación deportiva;Calle Patrimonio De La Humanidad 37 Parc. 3.10.4 Del P.A.U. De Carabanchel;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad II;Instalación deportiva;Calle Morales  C/ Patrimonio De La Humanidad, 27. Parc. 3.11.3 Del P.A.U. De Carabanchel;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Los Poblados;Instalación deportiva;Avenida Poblados  C/V Antig. Carretera A Leganés;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Los Rosales I;Instalación deportiva;Avenida Los Rosales 131;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Lucano;Instalación deportiva;Calle Lucano  C/V Esfinge;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Luis Buitrago;Instalación deportiva;Calle Luis Buitrago 7Y11;Pío XII;Avenida Pío XII nº 3
