Place of interest;Type of place;Place address;BiciMAD station;Station location
Instalación Deportiva Municipal Básica Parque del Cementerio;Instalación deportiva;Calle Barbara De Braganza 15;Plaza de las Salesas;Plaza de las Salesas 7
Instalación Deportiva Municipal Básica Parque del Oeste;Instalación deportiva;Paseo Camoens S/N;Paseo de Moret;Paseo de Moret nº 11
Instalación Deportiva Municipal Básica Parque la Milanera (La Coma);Instalación deportiva;Calle Ramon Gomez De La Serna 22;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Paseo del Polideportivo;Instalación deportiva;Calle Vivero De La Pilarica 3;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Patrimonio Humanidad;Instalación deportiva;Calle Patrimonio De La Humanidad  Frente Al Número 15. Parc. 3.12.3 Del P.A.U. De Carabanchel;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Peonías - José Miguel Vicens;Instalación deportiva;Calle Peonias 2;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Piedrahíta;Instalación deportiva;Calle Piedrahita  C/V Real Madrid, 36;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Pinar de la Elipa;Instalación deportiva;Calle Jose Luis De Arrese S/N;Marqués de Corbera 12;Avenida Marqués de Corbera nº 12
Instalación Deportiva Municipal Básica Pinos de Osuna;Instalación deportiva;Calle Pinos De Osuna 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Pirineos;Instalación deportiva;Calle Pirineos S/N Frente A Francisco De Diego;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Pista Deportiva P.A.R. La Alcazaba;Instalación deportiva;Inst. Deportiva Basica Sinesio Delgado 26;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Pista Deportiva Palas del Rey;Instalación deportiva;Calle Palas De Rey S/N C/V Frómista;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Pista Deportiva Parque Miguel Aracil;Instalación deportiva;Calle Joaquin Lorenzo 39;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Pista Deportiva Parque de Begoña;Instalación deportiva;Avenida Llano Castellano 1;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Pista P.A.R. Moralzarzal;Instalación deportiva;Calle Moralzarzal 88;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Pista de Patinaje Anfevi;Instalación deportiva;Calle Hacienda De Pavones 127;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Pista de Patinaje Avenida Niza;Instalación deportiva;Avenida Niza S/N C/V Travesía De Carlos Ii;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Pista de Petanca Centro de Mayores La Vaguada;Instalación deportiva;Avenida Monforte De Lemos 36;Remonta;Calle Azucenas nº 1
Instalación Deportiva Municipal Básica Pista de Petanca Parque Fuencarral;Instalación deportiva;Calle Afueras A Valverde 2;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Pista de Petanca de Islas Jarvi;Instalación deportiva;Calle Castiello De Jaca 3;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Pista de Skate;Instalación deportiva;Calle Capitan Blanco Argibay S/N;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Pistas de Petanca Dehesa de la Villa;Instalación deportiva;Calle Francos Rodriguez 1;Estrecho;Calle Navarra nº 1
Instalación Deportiva Municipal Básica Plan Parcial;Instalación deportiva;Calle Plan Parcial 3;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Plaza Arturo Barea;Instalación deportiva;Plaza Arturo Barea ;Segovia 26;Calle Segovia nº 26
Instalación Deportiva Municipal Básica Plaza Colonia Oroquieta;Instalación deportiva;Carretera Andalucia S/N C/V Carretera Villaverde A Vallecas;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Plaza Fonsagrada;Instalación deportiva;Plaza Fonsagrada 6;Remonta;Calle Azucenas nº 1
Instalación Deportiva Municipal Básica Plaza Munguía;Instalación deportiva;Plaza Munguia 1 Poblado Dirigido Orcasitas;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Plaza Vallandes;Instalación deportiva;Calle Calesas 4;Antonio López;Calle Eugenio Caxes frente al nº 12
Instalación Deportiva Municipal Básica Plaza de Arteijo;Instalación deportiva;Plaza Arteijo 10;Remonta;Calle Azucenas nº 1
Instalación Deportiva Municipal Básica Plaza de Bami - Benidorm;Instalación deportiva;Calle Jose Villena  Esq. Benidorm - Plaza De Bami;Puente de Ventas;Avenida de Daroca nº 2
Instalación Deportiva Municipal Básica Plaza de María Soledad Torres Acosta;Instalación deportiva;Plaza María Soledad Torres Acosta ;Segovia 26;Calle Segovia nº 26
Instalación Deportiva Municipal Básica Plaza de Sestao;Instalación deportiva;Plaza Sestao 1;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Plaza de la Orotava;Instalación deportiva;Plaza La Orotava 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Plaza del Campillo de Mundo Nuevo;Instalación deportiva;Plaza Campillo Del Mundo Nuevo ;Segovia 26;Calle Segovia nº 26
Instalación Deportiva Municipal Básica Poblado Dirigido La Elipa;Instalación deportiva;Calle Jose Luis De Arrese S/N;Marqués de Corbera 12;Avenida Marqués de Corbera nº 12
Instalación Deportiva Municipal Básica Pobladura del Valle;Instalación deportiva;Calle Pobladura Del Valle S/N C/V Amposta;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Poeta Esteban Villegas;Instalación deportiva;Calle Poeta Esteban De Villegas 4;Puerta de Granada;Avenida de Menéndez Pelayo nº 38
Instalación Deportiva Municipal Básica Polígono 20;Instalación deportiva;Calle Padre Claret 18;Corazón de María;Calle Santa Hortensia nº 31
Instalación Deportiva Municipal Básica Polígono de las Rosas;Instalación deportiva;Calle Helsinki 8 C/V Oslo;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Polígono de África;Instalación deportiva;Calle Villaescusa 56;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Pradillo;Instalación deportiva;Calle Pradillo 23;Prosperidad;Calle Suero de Quiñones nº 2
Instalación Deportiva Municipal Básica Pradillo - Santa Marca;Instalación deportiva;Calle Pradillo 23;Prosperidad;Calle Suero de Quiñones nº 2
Instalación Deportiva Municipal Básica Prosperidad;Instalación deportiva;Calle Pradillo 25;Prosperidad;Calle Suero de Quiñones nº 2
Instalación Deportiva Municipal Básica Pueblo Nuevo II;Instalación deportiva;Calle Ascao  Esq. Luis Ruiz;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Puente Ventas;Instalación deportiva;Calle Virgen De La Paz 7 Y 9;Puente de Ventas;Avenida de Daroca nº 2
Instalación Deportiva Municipal Básica Puerto Balbarán;Instalación deportiva;Calle Puerto De Balbaran 4 Y 6 Avda. Palomeras Bajas, 10;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Puerto Corlite;Instalación deportiva;Calle Puerto De Corlite 8;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Puerto Costabona;Instalación deportiva;Calle Puerto De Costabona 7;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Puerto Costabona Tenis;Instalación deportiva;Calle Puerto De Velate 18;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Puerto Lumbreras;Instalación deportiva;Calle Puerto De Lumbreras S/N;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Puerto Monasterio;Instalación deportiva;Calle Puerto Del Monasterio 17;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Puerto Rico;Instalación deportiva;Calle Puerto Rico 54 C/V Guatemala;Colombia;Calle Colombia nº 7
Instalación Deportiva Municipal Básica Puerto Velate;Instalación deportiva;Calle Puerto De Velate 9;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Puerto de Béjar;Instalación deportiva;Calle Puerto De Bejar 7;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Puerto de Costabona;Instalación deportiva;Calle Puerto De Costabona 7;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Pádel - Madrid Las Tablas;Instalación deportiva;Avenida Camino De Santiago 25;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Quinta de Los Molinos I;Instalación deportiva;Calle Alcala 535, C/V Avenida 25 Septiembre;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Quinta de Los Molinos II;Instalación deportiva;Calle Iquitos 1C/Vcallealcalá,535;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ramírez de Prado;Instalación deportiva;Calle Ramirez De Prado 2;Juan Martín;Calle Juan Martín el Empecinado nº 16
Instalación Deportiva Municipal Básica Ramón Gómez de la Serna;Instalación deportiva;Calle Ramon Gomez De La Serna 22 C/V Valle De Pinares Llanos Y Riscos De Polanco;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Ramón Power;Instalación deportiva;Calle Miguel Riesco 7;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Ramón Pérez de Ayala;Instalación deportiva;Calle Ramon Perez De Ayala 80;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Rancho del Cordobés;Instalación deportiva;Calle Eduardo Barreiros 19 C/V Pinsapo, 3;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Recinto Ferial San Antonio de la Florida;Instalación deportiva;Glorieta San Antonio De La Florida S/N En El Recinto Ferial;Paseo de la Florida;Paseo de la Florida nº 8
Instalación Deportiva Municipal Básica Ricardo Damas;Instalación deportiva;Calle Ricardo Damas 4;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Ronda Sur;Instalación deportiva;Ronda Sur 231 C/V Barros;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Rosa Jardón;Instalación deportiva;Calle Rosa Jardon 11;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica San Anselmo;Instalación deportiva;Calle San Anselmo 22 C/V Cº Venta De Pájaro, 26;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica San Aureliano;Instalación deportiva;Calle San Aureliano S/N;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica San Benigno;Instalación deportiva;Calle San Benigno 3;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica San Cristóbal de Los Ángeles II;Instalación deportiva;Calle Godella 48;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica San Cristóbal de Los Ángeles III;Instalación deportiva;Calle Moncada 123;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica San Juan Bautista - Cidamón;Instalación deportiva;Calle Agastia  Esq. Cidamón;Condesa de Venadito;Calle Condesa de Venadito nº 2
Instalación Deportiva Municipal Básica San Lamberto;Instalación deportiva;Calle San Lamberto 20 P.A.R.;Marqués de Corbera 52;Avenida Marqués de Corbera nº 52
Instalación Deportiva Municipal Básica San Pascual;Instalación deportiva;Calle Esteban Mora S/N Esq. Derechos Humanos;Derechos Humanos;Calle Derechos Humanos nº 12
Instalación Deportiva Municipal Básica San Pol;Instalación deportiva;Calle San Pol De Mar 7;Paseo de la Florida;Paseo de la Florida nº 8
Instalación Deportiva Municipal Básica Sanchinarro I;Instalación deportiva;Calle Infanta Catalina Micaela 33 C/V Infanta Catalina Micaela;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Sanchinarro II;Instalación deportiva;Calle Infanta Catalina Micaela 23 C/V Infanta Catalina Micaela Y Junto C.P. Adolfo Suárez;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Sanchinarro III;Instalación deportiva;Calle Maria Tudor 10;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Sanchinarro IV;Instalación deportiva;Avenida Niceto Alcala Zamora 12;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Sanchorreja;Instalación deportiva;Calle Sanchorreja 8;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Sangenjo;Instalación deportiva;Calle Sangenjo 42;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Santa Ana I;Instalación deportiva;Calle Hospitalet De Llobregat 11 C/V Travesía Hospitalet De Llobregat;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Santa Ana II;Instalación deportiva;Paseo Alamedillas 2;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Santa Hortensia;Instalación deportiva;Calle Santa Hortensia 34;Corazón de María;Calle Santa Hortensia nº 31
Instalación Deportiva Municipal Básica Santa Petronila;Instalación deportiva;Carretera Andalucia S/N Santa Petronila;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Santa Rita;Instalación deportiva;Calle Alba De Tormes 2;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Santa Virgilia;Instalación deportiva;Calle Santa Virgilia 17 Posterior;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Santuario de Valverde (Montecarmenlo);Instalación deportiva;Avenida Santuario De Valverde 41;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Sepúlveda;Instalación deportiva;Calle Sepulveda 220;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Seseña;Instalación deportiva;Calle Seseña 2 C/V Calle Valmojado, 2;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Sierra Elvira;Instalación deportiva;Calle Sierra Elvira 37 Posterior;Doctor Lozano;Calle Sierra Toledana nº 33
Instalación Deportiva Municipal Básica Sierra del Valle;Instalación deportiva;Calle Arroyo Del Olivar S/N C/V Sierra Del Valle;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Sinesio Delgado;Instalación deportiva;Calle Isla De Oza 61;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Soto Hidalgo;Instalación deportiva;Calle Riaño 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Talbot;Instalación deportiva;Calle Talbot 3;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Telémaco;Instalación deportiva;Calle Telemaco S/N;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Tercio Terol;Instalación deportiva;Calle Chindasvinto  C/V Tulga;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Torrelaguna (La Colina);Instalación deportiva;Calle Torrelaguna  Esq. Normas;Condesa de Venadito;Calle Condesa de Venadito nº 2
Instalación Deportiva Municipal Básica Torrespaña - Fuente del Berro;Instalación deportiva;Calle Nudo M-30 C/V Alcalde Sainz De Baranda 94;Quinta Fuente del Berro;Calle Sancho Dávila esquina Paseo Marqués de Zafra
Instalación Deportiva Municipal Básica Tres Olivos I Pádel;Instalación deportiva;Calle Cueva De Montesinos 27;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Tres Olivos II;Instalación deportiva;Avenida Campo De Calatrava 3 C/V Alonso Quijano Y Afueras A Valverde;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Tribaldos;Instalación deportiva;Calle Tribaldos 37 Junto A La Iglesia;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Tribaldos II;Instalación deportiva;Calle Tribaldos 34;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Trinquete;Instalación deportiva;Calle Velacho Bajo 3;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica UVA Pan Bendito;Instalación deportiva;Uva Pan Bendito ;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica UVA de Vallecas;Instalación deportiva;Calle Monte De Montjuich 9 C/ Sierra Gorda;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Urbanización Arroyo del Santo;Instalación deportiva;Avenida Prunos 100;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Urbis;Instalación deportiva;Avenida Doctor Garcia Tapia 117 Esquina Avd. Moratalaz;Marroquina;Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Valdebernardo;Instalación deportiva;Calle Cordel De Pavones 9;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Valdelasierra;Instalación deportiva;Calle Valdelasierra 7;Madrid Río-Yeserías;Paseo de Yeserías nº 45
Instalación Deportiva Municipal Básica Valderriba;Instalación deportiva;Avenida Gran Via Del Este 14;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Valderromán;Instalación deportiva;Calle Valderroman 22;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Valdetorres;Instalación deportiva;Calle Valdetorres De Jarama 29 Estrecho Ormuz, 6;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Valdeyeros;Instalación deportiva;Calle Rosalia De Castro 77;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Valle Inclán;Instalación deportiva;Calle Valle Inclán  C/V Aldeanueva De La Vera;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Vereda de Ganapanes;Instalación deportiva;Calle Becerrea 4 C/V Sinesio Delgado;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Via Lusitana;Instalación deportiva;Calle Via Lusitana 19 Parque Sur;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Villa de Pons - Avenida de San Luis;Instalación deportiva;Avenida San Luis 23;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Villabona;Instalación deportiva;Calle Villabona 4;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Villalonso;Instalación deportiva;Calle Villalonso 8;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Virgen de la Estrella;Instalación deportiva;Plazuela Virgen De La Estrella 1;Niño Jesús;Calle Doctor Esquerdo nº 161
Instalación Deportiva Municipal Básica Virgen del Cortijo;Instalación deportiva;Calle Oña 18;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Vital Aza;Instalación deportiva;Calle Vital Aza  Esq. Ezequiel Solana;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Yeseros;Instalación deportiva;Calle Yeseros 1 C/V Calle Maquinilla;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Yeserías I;Instalación deportiva;Paseo Yeserias 1;Pirámides;Calle Toledo nº 181
Instalación Deportiva Municipal Básica Zazuar;Instalación deportiva;Calle Zazuar 1 C/V Avda. Mediterráneo;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Zofío;Instalación deportiva;Calle Ricardo Beltran Y Rozpide 12;San Delfín;Calle San Delfín nº 9
Instalación Deportiva Municipal Básica de Ribadeo y Verín;Instalación deportiva;Plazas Interiores Entre Plaza Ribadeo 1 Y Plaza Verin;Remonta;Calle Azucenas nº 1
Instalación Deportiva Municipal Básica del Poblado Dirigido (Olesa de Montserrat);Instalación deportiva;Avenida Cardenal Herrera Oria 108;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica paseo de la Vaguada;Instalación deportiva;Paseo Vaguada 13;Remonta;Calle Azucenas nº 1
Instalación Deportiva Municipal Básica poblado de Santa Ana;Instalación deportiva;Calle Braille 15;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Canal de Remo Puente de la Princesa;Instalación deportiva;Pasarela Sur Del Puente De La Princesa ;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Embajadores M-30;Instalación deportiva;Calle Puerto De La Cruz Verde 29;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Nave de Terneras;Instalación deportiva;Paseo Chopera 10;Entrada Matadero;Paseo de la Chopera nº 14
Instalación Deportiva Municipal Parque Calle Vado;Instalación deportiva;Calle Antonio Lopez 189 C/V Vado;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Parque Lineal del Manzanares Victoriano González;Instalación deportiva;Calle Embajadores 324;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Puente de Praga;Instalación deportiva;Avenida Manzanares 176;San Delfín;Calle San Delfín nº 9
Instalación Deportiva Municipal Pádel  Marqués de Monistrol;Instalación deportiva;Calle Ribera Del Manzanares 1;Paseo de la Florida;Paseo de la Florida nº 8
Instalación Deportiva Municipal Rocódromo 'Roc 30';Instalación deportiva;Avenida Manzanares 108;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parque Lineal UZI 0.06 Arroyofresno;Instalación deportiva;Calle Maria De Maeztu 1;Facultad Derecho;Avenida Complutense nº 23
Pista de Patinaje Paco de Lucía;Instalación deportiva;Auditorio Paco De Lucia ;Caramuel;Calle Caramuel nº 51
Pista de petanca Centro de Mayores La Vaguada;Instalación deportiva;Avenida Monforte De Lemos 36;Remonta;Calle Azucenas nº 1
